date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
23/06/2020,Uttar Pradesh,18322,6152,11601,569,24474
24/06/2020,Uttar Pradesh,18893,6189,12116,588,25082
25/06/2020,Uttar Pradesh,19557,6375,12586,596,25932
26/06/2020,Uttar Pradesh,20193,6463,13119,611,26656
27/06/2020,Uttar Pradesh,20943,6730,13583,630,27673
28/06/2020,Uttar Pradesh,21549,6685,14215,649,28234
29/06/2020,Uttar Pradesh,22147,6679,14808,660,28826
30/06/2020,Uttar Pradesh,22828,6650,15506,672,29478
24/03/2020,Uttarakhand,3,3,0,0,6
25/03/2020,Uttarakhand,4,4,0,0,8
26/03/2020,Uttarakhand,5,5,0,0,10
27/03/2020,Uttarakhand,5,5,0,0,10
28/03/2020,Uttarakhand,5,5,0,0,10
29/03/2020,Uttarakhand,6,5,1,0,11
30/03/2020,Uttarakhand,7,5,2,0,12
31/03/2020,Uttarakhand,7,5,2,0,12
01/04/2020,Uttarakhand,7,5,2,0,12
02/04/2020,Uttarakhand,7,5,2,0,12
03/04/2020,Uttarakhand,10,8,2,0,18
04/04/2020,Uttarakhand,16,14,2,0,30
05/04/2020,Uttarakhand,22,20,2,0,42
06/04/2020,Uttarakhand,26,22,4,0,48
07/04/2020,Uttarakhand,31,26,5,0,57
08/04/2020,Uttarakhand,31,26,5,0,57
09/04/2020,Uttarakhand,33,28,5,0,61
10/04/2020,Uttarakhand,35,30,5,0,65
11/04/2020,Uttarakhand,35,30,5,0,65
12/04/2020,Uttarakhand,35,30,5,0,65
13/04/2020,Uttarakhand,35,30,5,0,65
14/04/2020,Uttarakhand,35,30,5,0,65
15/04/2020,Uttarakhand,37,28,9,0,65
16/04/2020,Uttarakhand,37,28,9,0,65
17/04/2020,Uttarakhand,37,28,9,0,65
18/04/2020,Uttarakhand,40,31,9,0,71
19/04/2020,Uttarakhand,42,33,9,0,75
20/04/2020,Uttarakhand,44,33,11,0,77
21/04/2020,Uttarakhand,46,28,18,0,74
22/04/2020,Uttarakhand,46,27,19,0,73
23/04/2020,Uttarakhand,46,23,23,0,69
24/04/2020,Uttarakhand,47,23,24,0,70
25/04/2020,Uttarakhand,48,23,25,0,71
26/04/2020,Uttarakhand,48,22,26,0,70
27/04/2020,Uttarakhand,50,22,28,0,72
28/04/2020,Uttarakhand,51,18,33,0,69
29/04/2020,Uttarakhand,54,21,33,0,75
30/04/2020,Uttarakhand,55,19,36,0,74
01/05/2020,Uttarakhand,57,21,36,0,78
02/05/2020,Uttarakhand,58,22,36,0,80
03/05/2020,Uttarakhand,59,20,39,0,79
04/05/2020,Uttarakhand,60,21,39,0,81
05/05/2020,Uttarakhand,60,20,39,1,80
06/05/2020,Uttarakhand,61,21,39,1,82
07/05/2020,Uttarakhand,61,21,39,1,82
08/05/2020,Uttarakhand,61,21,39,1,82
09/05/2020,Uttarakhand,63,16,46,1,79
10/05/2020,Uttarakhand,67,20,46,1,87
11/05/2020,Uttarakhand,68,21,46,1,89
12/05/2020,Uttarakhand,68,21,46,1,89
13/05/2020,Uttarakhand,69,22,46,1,91
14/05/2020,Uttarakhand,72,25,46,1,97
15/05/2020,Uttarakhand,78,27,50,1,105
16/05/2020,Uttarakhand,82,30,51,1,112
17/05/2020,Uttarakhand,88,36,51,1,124
18/05/2020,Uttarakhand,92,39,52,1,131
